,matched_merk,matched_handelsbenaming,symptoom,count_sleuteltijd_incident_merk,average_sleuteltijd_incident_merk,suggestie
62855,MAZDA,6,Afgeslagen tijdens rijden,121.0,23.198347107438018,25.631217313186063
62860,PEUGEOT,205,Stottert / verliest vermogen,55.0,21.236363636363638,23.149686147155542
62900,HYUNDAI,TUCSON,Slaat niet aan,42.0,16.642857142857142,18.368396749414437
62910,MITSUBISHI,LANCER,Start niet,483.0,20.144927536231883,22.267368264614852
62920,TOYOTA,PREVIA,Start niet,89.0,18.60674157303371,20.77227165980011
62922,TOYOTA,PREVIA,Accu,213.0,15.793427230046948,17.6443837560414
62926,DACIA,LOGAN,Slaat niet aan,38.0,24.789473684210527,26.581061423824192
62941,FORD,GALAXY,Elektronica,49.0,28.224489795918366,30.92384133369365
63288,MAZDA,2,Controlelampjes / dashboardmeldingen,221.0,23.39366515837104,25.79005629017783
63300,VOLKSWAGEN,BORA,Elektronica,34.0,19.764705882352942,22.310306050074445
63323,KIA,C´EED,Koppeling,72.0,19.59722222222222,21.815328531349795
63324,KIA,CARENS,Lekkage,38.0,26.342105263157894,28.497628866760948
64028,FORD,KA,Dynamo,32.0,14.3125,15.851400817403919
64081,RENAULT,KANGOO,Verlichting,208.0,21.66826923076923,24.245892642754264
64103,OPEL,CORSA,Uitlaat,65.0,18.138461538461538,20.059376284497514
64118,TOYOTA,PRIUS,Uitlaat,90.0,16.511111111111113,17.98411156497345
64123,NISSAN,JUKE,Carrosserie,58.0,24.46551724137931,26.763035728317366
64139,MITSUBISHI,OUTLANDER,Raammechaniek,160.0,23.90625,25.93089510342216
64247,KIA,RIO,Verlichting,202.0,19.024752475247524,21.223519333793803
64291,CITROEN,BERLINGO,Sleutel in voertuig,73.0,11.931506849315069,13.487810315690458
64310,CHRYSLER,PT CRUISER,Versnellingsbak,124.0,24.943548387096776,27.103689170055837
64415,PEUGEOT,508,Sloten,45.0,22.977777777777778,25.62643524216164
64421,SKODA,CITIGO,Lekke band,253.0,16.92885375494071,18.353406296454967
64422,SKODA,CITIGO,Stottert / verliest vermogen,67.0,26.850746268656717,29.09517174657214
64427,FORD,TRANSIT,Verkeerde brandstof,53.0,58.77358490566038,61.85871944930589
64435,VOLKSWAGEN,PASSAT,Raammechaniek,100.0,22.05,24.581831442759462
64464,RENAULT,TWINGO,Verkeerde brandstof,158.0,38.78481012658228,41.21462150002043
64543,VOLVO,C70,Controlelampjes / dashboardmeldingen,81.0,23.65432098765432,25.90208994325847
64545,VOLVO,C70,Koelprobleem,70.0,30.771428571428572,33.07579655446475
64547,VOLVO,C70,Lekkage,93.0,27.204301075268816,29.377170249611314
64551,VOLVO,C70,Stuurinrichting,32.0,20.1875,22.201921292868324
64561,VOLVO,XC70,Afgeslagen tijdens rijden,304.0,28.56907894736842,31.40051338785091
64589,VOLVO,S60,Raammechaniek,37.0,26.7027027027027,29.37170646461108
64590,KIA,PICANTO,Sleutel verloren / gestolen,42.0,13.333333333333334,14.561657593374175
64593,AUDI,Q2,Lekke band - geen reserve,244.0,20.811475409836067,22.668626949077968
64611,PEUGEOT,207,Ruitenwisser / motor,27.0,17.74074074074074,19.32905947772536
64652,PORSCHE,CAYMAN,Lekke band - geen reserve,291.0,21.120274914089347,23.136833764778718
64682,VOLVO,XC40,Sloten,36.0,21.555555555555557,23.772148823226853
64687,SUBARU,FORESTER,Anders,164.0,24.128048780487806,26.29674265241399
64688,SUBARU,FORESTER,Verlichting,186.0,21.413978494623656,23.53710760077687
64719,LEXUS,GS,Start niet,126.0,20.373015873015873,22.51819285539152
64722,LEXUS,GS,Accu,281.0,19.19572953736655,21.229919692736836
64727,HYUNDAI,SANTA FE,Controlelampjes / dashboardmeldingen,61.0,22.75409836065574,24.974006422553504
64728,HYUNDAI,SANTA FE,Verlichting,56.0,19.982142857142858,21.919301499044987
64731,OPEL,AGILA,Dynamo,34.0,17.205882352941178,19.29865544094211
64742,HYUNDAI,I30,Raammechaniek,36.0,23.444444444444443,25.563777223545316
64748,FIAT,IDEA,Lekkage,117.0,27.256410256410255,29.878057414139274
64938,BMW,3 SERIES,Remmen,49896.0,28.23138127304794,30.745780165467473
65286,OPEL,MOKKA,Controlelampjes / dashboardmeldingen,124.0,21.096774193548388,23.093944693998417
65348,LAND,ROVER DISCOVERY,Accu,495.0,18.967676767676767,21.188371375625824
65350,SMART,FORFOUR,Verlichting,74.0,21.445945945945947,23.79560749293794
65351,SMART,FORFOUR,Stottert / verliest vermogen,202.0,23.193069306930692,25.527707977007232
65550,SKODA,CITIGO,Afgeslagen tijdens rijden,61.0,22.852459016393443,25.30008583622941
65561,PEUGEOT,107,Elektronica,116.0,22.198275862068964,24.562814409276303
65917,OPEL,INSIGNIA,Bijgeluiden,191.0,24.717277486910994,26.799914343027723
65919,OPEL,INSIGNIA,Remmen,97.0,26.577319587628867,28.915070414901177
65930,MAZDA,DEMIO,Verlichting,115.0,19.565217391304348,21.831834140429393
65932,NISSAN,350 Z,Accu,78.0,16.846153846153847,18.715918264742182
65990,VOLKSWAGEN,GOLF,Vloeistoffen,159.0,22.81761006289308,25.257265945669857
65995,VOLKSWAGEN,ID.3,Accu,49.0,23.836734693877553,26.181678777454394
65998,PEUGEOT,107,Geen brandstof,411.0,12.389294403892944,13.71909682837597
66279,PEUGEOT,206,Multiriem / V-snaar,93.0,22.451612903225808,24.78449045505086
66287,HONDA,STREAM,Start niet,28.0,16.571428571428573,18.54180441181562
66290,HYUNDAI,GETZ,Stuurinrichting,39.0,20.974358974358974,23.24048204365203
66316,BMW,7 SERIES,Afgeslagen tijdens rijden,400.0,30.55,34.18736095773325
66354,PEUGEOT,508,Verlichting,87.0,19.402298850574713,21.151054852460028
66708,SKODA,OCTAVIA,Sloten,238.0,19.932773109243698,22.144985853302476
66723,SEAT,ALHAMBRA,Lekke band,213.0,20.483568075117372,22.141050866208655
66727,OPEL,INSIGNIA,Sleutel in voertuig,177.0,15.07909604519774,16.405542692742504
66745,FORD,FUSION,Verlichting,228.0,19.666666666666668,21.752569634071268
66760,SUZUKI,WAGON R+,Koppeling,72.0,21.930555555555557,24.15845068893866
66770,MINI,MINI COOPER,Koelprobleem,121.0,28.231404958677686,30.618931947837588
66771,KIA,SOUL,Lekke band,131.0,20.0,21.57387322331785
66803,RENAULT,LAGUNA,Slaat niet aan,66.0,19.681818181818183,21.85028860725958
67754,TOYOTA,PRIUS,Ruitenwisser / motor,65.0,19.584615384615386,20.906428496914607
67763,FORD,C-MAX,Remmen,41.0,26.170731707317074,28.723355895070224
67809,CITROEN,C–CROSSER,Start niet,37.0,25.89189189189189,28.816525156034547
67973,ALFA,ROMEO 166,Koelprobleem,30.0,26.333333333333332,28.837226853158146
67975,ALFA,ROMEO 166,Anders,26.0,29.884615384615383,32.18282957427188
67976,ALFA,ROMEO 166,Accu,117.0,16.837606837606838,18.953888296877818
67999,HYUNDAI,GETZ,Raammechaniek,31.0,21.838709677419356,23.70221314167434
68010,LAND,ROVER FREELANDER,Lekke band - geen reserve,29.0,20.482758620689655,21.938509912174606
68069,SEAT,ALHAMBRA,Start niet,429.0,20.876456876456878,23.00893008783729
68074,RENAULT,CAPTUR,Versnellingsbak,66.0,24.03030303030303,26.33178628568969
68079,MAZDA,2,Verlichting,233.0,18.57510729613734,20.600608566047036
68086,FORD,FIESTA,Verkeerde brandstof,128.0,47.1796875,50.119101325166625
68097,VOLKSWAGEN,POLO,Vering / Wielophanging,43.0,19.558139534883722,22.332570427410808
68121,CHRYSLER,NEON,Lekke band - geen reserve,123.0,23.008130081300813,25.273609289235278
68129,SEAT,EXEO,Lekke band,46.0,18.717391304347824,20.275487271699728
68140,OPEL,ADAM,Stottert / verliest vermogen,270.0,24.659259259259258,26.603323398618606
68162,SEAT,AROSA,Versnellingsbak,136.0,20.985294117647058,23.236662982294938
68167,CHEVROLET,CAPTIVA,Accu,371.0,16.973045822102424,18.820292813379908
68186,OPEL,TIGRA TWIN TOP,Sloten,34.0,27.294117647058822,29.976008790813893
68198,SEAT,IBIZA,Elektronica,451.0,23.61862527716186,25.899462881504526
68228,CHEVROLET,SPARK,Versnellingsbak,167.0,23.48502994011976,25.562698833308396
68257,SKODA,SCALA,Lekke band - geen reserve,51.0,18.784313725490197,20.17286777663159
68274,CITROEN,C4,Dynamo,49.0,25.387755102040817,27.780285730083527
68277,FORD,S-MAX,Carrosserie,121.0,21.264462809917354,23.308610119467353
68278,FORD,S-MAX,Geen brandstof,43.0,14.69767441860465,16.097751540353254
68629,MAZDA,CX 5,Stottert / verliest vermogen,133.0,28.902255639097746,31.398539103501342
68631,MAZDA,CX 5,Controlelampjes / dashboardmeldingen,97.0,22.855670103092784,24.84835081447777
68645,CITROEN,XXX,Accu,135.0,18.762962962962963,20.96721484697241
68647,CITROEN,XXX,Lekke band,28.0,20.392857142857142,22.036703894490987
68649,SUZUKI,SX 4,Koelprobleem,34.0,24.264705882352942,26.56232584366748
68660,VOLKSWAGEN,TRANSPORTER T2,Versnellingsbak,126.0,23.3015873015873,25.487043121972867
